customer_id,full_name,email,loyalty_status,total_loyalty_points,last_purchase_date,city,phone
C001,Kavya Singh,kavya.singh410@hotmail.com,Bronze,399,2024-04-13,Lucknow,+919181143731
C002,Gauri Bhardwaj,gauri.bhardwaj1425@rediffmail.com,Bronze,272,2023-12-23,Kolkata,+918170484433
C003,Divya Gupta,divya.gupta9196@yahoo.com,Silver,1588,2025-11-10,Kolkata,+917929338154
C004,Arjun Nair,arjun.nair107@yahoo.com,Silver,2113,2024-11-05,Kolkata,+919279182318
C005,Asha Singh,asha.singh1520@outlook.com,Bronze,253,2024-11-09,Nagpur,+916186618211
C006,Ritesh Kapoor,ritesh.kapoor8786@gmail.com,Gold,3531,2024-12-14,Chennai,+919562265906
C007,Kavya Pandey,kavya.pandey5926@rediffmail.com,Bronze,615,2023-08-14,Nagpur,+917242911821
C008,Priya Joshi,priya.joshi1655@outlook.com,Bronze,453,2025-09-03,Bengaluru,+917589915144
C009,Deepak Mehta,deepak.mehta4375@gmail.com,Silver,918,2024-05-16,Kolkata,+916701808367
C010,Sameer Bose,sameer.bose4423@rediffmail.com,Bronze,408,2024-10-20,Nagpur,+916240251661
C011,Nisha Sharma,nisha.sharma5169@outlook.com,Bronze,207,2024-06-26,Surat,+919763970286
C012,Anjali Rao,anjali.rao3484@outlook.com,Bronze,206,2025-09-11,Chennai,+916599707677
C013,Nisha Bhardwaj,nisha.bhardwaj8831@hotmail.com,Silver,1345,2025-02-03,Hyderabad,+917554762903
C014,Nisha Kumar,nisha.kumar8349@outlook.com,Bronze,82,2024-01-10,Bengaluru,+918694860228
C015,Anita Chopra,anita.chopra9772@gmail.com,Bronze,44,2025-07-25,Jaipur,+917079815404
C016,Kavita Gupta,kavita.gupta1877@rediffmail.com,Silver,862,2025-09-09,Chennai,+917867302554
C017,Anita Kapoor,anita.kapoor54@hotmail.com,Gold,1974,2024-05-23,Delhi,+919738848790
C018,Kavya Menon,kavya.menon8318@rediffmail.com,Bronze,362,2024-12-09,Jaipur,+919344175247
C019,Sahil Ahuja,sahil.ahuja10@rediffmail.com,Bronze,118,2023-12-12,Pune,+919774081712
C020,Tarun Menon,tarun.menon3924@gmail.com,Bronze,17,2025-06-25,Delhi,+919143519183
C021,Pooja Patel,pooja.patel8728@yahoo.com,Bronze,593,2025-03-23,Bengaluru,+917138409539
C022,Manish Pandey,manish.pandey6933@yahoo.com,Gold,3548,2025-10-29,Chennai,+917713658874
C023,Isha Das,isha.das7178@rediffmail.com,Bronze,313,2024-08-02,Pune,+916090341465
C024,Arjun Bhardwaj,arjun.bhardwaj3771@rediffmail.com,Bronze,15,2024-02-03,Mumbai,+916983297492
C025,Priya Sharma,priya.sharma5414@gmail.com,Bronze,191,2024-09-03,Kolkata,+918315992115
C026,Rahul Saxena,rahul.saxena9441@outlook.com,Bronze,322,2025-03-21,Kolkata,+916405126228
C027,Sneha Chopra,sneha.chopra5805@outlook.com,Bronze,69,2024-01-17,Lucknow,+916422701550
C028,Rupesh Bose,rupesh.bose5560@gmail.com,Bronze,375,2024-06-04,Bengaluru,+917811967841
C029,Anita Nair,anita.nair7580@yahoo.com,Gold,2798,2024-02-08,Indore,+919676349806
C030,Kavita Singh,kavita.singh829@rediffmail.com,Silver,1024,2024-02-26,Indore,+917015242176
C031,Anita Chopra,anita.chopra7957@outlook.com,Bronze,179,2025-01-06,Bengaluru,+917627677155
C032,Amit Bose,amit.bose4346@outlook.com,Bronze,670,2025-11-05,Nagpur,+918387006772
C033,Isha Malhotra,isha.malhotra2537@yahoo.com,Bronze,297,2024-01-21,Jaipur,+916261810763
C034,Ritesh Rao,ritesh.rao937@gmail.com,Silver,565,2025-04-20,Jaipur,+916676168421
C035,Rupesh Ahuja,rupesh.ahuja1313@yahoo.com,Bronze,464,2024-01-31,Kolkata,+917734202799
C036,Sneha Saxena,sneha.saxena4034@rediffmail.com,Silver,467,2025-08-18,Lucknow,+918506853388
C037,Arjun Ahuja,arjun.ahuja5184@hotmail.com,Bronze,341,2024-10-09,Hyderabad,+916562117925
C038,Isha Menon,isha.menon7492@hotmail.com,Gold,80,2021-05-30,Surat,+916429416213
C039,Priya Bhardwaj,priya.bhardwaj3493@rediffmail.com,Bronze,34,2024-11-14,Bhopal,+917049193572
C040,Deepak Menon,deepak.menon2585@outlook.com,Silver,1318,2025-11-12,Nagpur,+918808806886
C041,Manish Gupta,manish.gupta9087@hotmail.com,Gold,5476,2024-03-08,Bengaluru,+917135872495
C042,Sneha Singh,sneha.singh9065@yahoo.com,Bronze,334,2025-08-03,Pune,+916874443787
C043,Isha Nair,isha.nair8281@outlook.com,Bronze,276,2024-01-14,Hyderabad,+919562022940
C044,Karan Sharma,karan.sharma59@hotmail.com,Silver,1019,2025-09-05,Bengaluru,+919183562527
C045,Sameer Bhardwaj,sameer.bhardwaj7008@rediffmail.com,Bronze,4,2024-02-08,Kanpur,+919882343658
C046,Rahul Bhardwaj,rahul.bhardwaj591@hotmail.com,Silver,768,2024-04-22,Mumbai,+917323959527
C047,Deepak Sharma,deepak.sharma5863@yahoo.com,Silver,923,2025-10-05,Nagpur,+918404681399
