transaction_id,customer_id,store_id,transaction_date,total_amount,customer_phone
T00001,C000421,S06,2025-01-14 22:31:22.820873,732.2,+917632127923
T00002,C000219,S03,2025-02-02 09:03:22.820873,341.75,+917832837596
T00003,C001199,S05,2024-08-17 04:51:07.820873,877.63,+918561629386
T00004,C000868,S10,2024-12-02 07:36:39.820873,2508.99,+917762557538
T00005,C000565,S07,2024-06-19 00:22:41.820873,304.61,+917948393831
T00006,C001131,S09,2025-03-31 15:50:24.820873,304.61,+917710425977
T00007,C000759,S09,2025-06-14 02:56:46.820873,2683.98,+916921572928
T00008,C000520,S05,2025-07-06 21:52:14.820873,1013.25,+917830831254
T00009,C001586,S07,2024-04-12 13:40:07.820873,229.67,+917478538226
T00010,C001532,S04,2025-02-22 15:13:25.820873,773.61,+918156509381
T00011,C000206,S04,2025-04-26 23:55:01.820873,231.34,+918040695043
T00012,C001610,S06,2025-06-09 07:41:20.820873,230.7,+916809000407
T00013,C001428,S01,2024-05-05 23:29:59.820873,539.34,+917381280467
T00014,C001976,S01,2024-02-24 14:37:27.820873,100.0,+917624405402
T00015,C000966,S10,2025-02-10 12:32:31.820873,100.0,+917608297407
T00016,C000132,S05,2024-07-07 22:50:05.820873,205.46,+917139027119
T00017,C000164,S10,2023-12-31 23:19:33.820873,119.65,+919360324392
T00018,C001907,S07,2025-08-13 09:13:25.820873,588.22,+917188330817
T00019,C001068,S05,2025-11-21 07:05:10.820873,135.69,+916241011818
T00020,C000118,S03,2025-09-09 03:19:56.820873,100.0,+919656488400
T00021,C000900,S01,2024-06-17 09:14:58.820873,2342.04,+917747654202
T00022,C001907,S09,2024-09-10 16:25:24.820873,307.68,+917188330817
T00023,C000069,S10,2025-04-29 04:06:47.820873,437.48,+919504793184
T00024,C001431,S04,2025-08-13 15:30:13.820873,100.0,+919847280438
T00025,C001381,S01,2024-11-25 18:02:38.820873,209.92,+917366047498
T00026,C001342,S01,2024-05-02 12:29:41.820873,460.87,+916011031667
T00027,C000566,S07,2024-11-18 23:43:11.820873,101.37,+917589365925
T00028,C000831,S10,2024-06-16 04:11:00.820873,633.23,+916575246182
T00029,C000032,S02,2024-02-24 05:20:35.820873,196.22,+917159417075
T00030,C000583,S09,2025-07-11 22:00:24.820873,284.28,+916033199694
T00031,C000712,S05,2024-07-12 07:24:36.820873,195.97,+919313573165
T00032,C001973,S04,2025-03-03 00:02:26.820873,3724.67,+916720359227
T00033,C001178,S01,2024-08-16 15:42:21.820873,396.95,+916800525739
T00034,C000834,S09,2024-03-12 05:40:19.820873,113.38,+918449341007
T00035,C000149,S09,2024-09-19 21:42:39.820873,1082.53,+916693989311
T00036,C001940,S02,2025-05-01 18:42:55.820873,100.0,+916443348057
T00037,C001795,S09,2025-07-03 18:26:25.820873,518.34,+917228051310
T00038,C001422,S08,2024-12-14 05:50:14.820873,100.0,+917800599868
T00039,C000991,S04,2024-11-05 02:02:21.820873,100.0,+917017495081
T00040,C001396,S08,2025-07-15 10:19:43.820873,510.93,+917117407868
T00041,C000988,S02,2024-08-13 11:47:33.820873,978.64,+917005716063
T00042,C000784,S04,2025-10-16 17:42:16.820873,495.54,+918159783506
T00043,C001639,S06,2025-01-18 22:11:20.820873,351.15,+916860267314
T00044,C001058,S09,2023-12-02 18:55:16.820873,281.09,+916639509845
T00045,C000509,S05,2024-02-26 23:51:27.820873,100.0,+916063824611
T00046,C001380,S06,2024-02-09 05:31:25.820873,170.07,+919009593554
T00047,C001908,S03,2025-03-24 20:45:38.820873,232.12,+918918774631
T00048,C000725,S04,2025-07-02 19:07:47.820873,1434.46,+919718575271
T00049,C000375,S04,2025-04-16 16:36:09.820873,609.32,+919543035341
T00050,C000481,S04,2024-08-20 16:51:41.820873,100.0,+916600337712
T00051,C000470,S04,2024-08-05 07:51:19.820873,595.2,+916387847884
T00052,C000730,S03,2024-03-11 13:41:51.820873,254.14,+917577743019
T00053,C001885,S02,2025-10-16 03:16:13.820873,179.06,+919213909354
T00054,C001258,S01,2025-05-30 10:52:18.820873,840.51,+916197323378
T00055,C001737,S08,2024-12-08 07:55:51.820873,1390.2,+916216254664
T00056,C000646,S08,2025-07-03 19:20:08.820873,1233.41,+918878128023
T00057,C001006,S03,2025-04-29 19:32:14.820873,147.37,+918415429277
T00058,C000815,S04,2025-07-05 14:00:08.820873,278.37,+917148782098
T00059,C000111,S09,2025-01-30 02:44:53.820873,0.0,+916664847319
T00060,C001925,S09,2023-12-27 03:37:39.820873,1300.7,+916575015625
T00061,C000712,S07,2025-10-25 15:41:50.820873,227.01,+919313573165
T00062,C000937,S02,2025-11-08 04:12:01.820873,322.86,+917578589030
T00063,C000943,S06,2025-10-28 09:38:22.820873,106.95,+919272162158
T00064,C000025,S04,2024-12-16 06:29:12.820873,100.0,+917632629719
T00065,C000207,S06,2024-11-28 07:38:37.820873,1069.59,+917955997540
T00066,C001766,S05,2024-06-02 05:18:20.820873,2053.88,+916462850341
T00067,C000539,S04,2024-08-25 02:29:39.820873,370.03,+916400420225
T00068,C001964,S10,2024-11-08 22:39:21.820873,1345.12,+919961879157
T00069,C000377,S08,2025-01-30 16:59:53.820873,622.64,+916805660882
T00070,C000859,S06,2024-11-30 23:55:05.820873,186.02,+916977290717
T00071,C000573,S08,2024-05-26 06:08:14.820873,622.46,+917778905619
T00072,C000269,S10,2025-10-25 17:39:17.820873,2554.58,+919070964768
T00073,C001668,S02,2024-08-25 17:55:06.820873,386.45,+916907055132
T00074,C001138,S07,2024-12-17 16:28:17.820873,2637.46,+916115603785
T00075,C000299,S03,2025-03-21 09:41:15.820873,100.0,+917924895021
T00076,C000362,S07,2025-04-17 14:13:44.820873,1081.69,+918474961963
T00077,C001830,S09,2025-05-22 20:49:42.820873,447.85,+917537965898
T00078,C001609,S08,2024-09-25 18:28:14.820873,281.8,+917121617417
T00079,C001152,S10,2024-01-10 23:50:18.820873,450.39,+916714418371
T00080,C000203,S03,2024-01-23 17:10:40.820873,100.0,+918889635392
T00081,C001667,S05,2025-03-25 08:15:56.820873,309.94,+916981049082
T00082,C000198,S08,2024-10-30 18:47:27.820873,619.27,+917897456484
T00083,C000740,S06,2025-06-19 05:37:50.820873,2376.71,+918640766997
T00084,C001909,S05,2024-11-09 10:03:18.820873,216.61,+919770490924
T00085,C000844,S02,2024-11-17 07:22:53.820873,152.9,+916194576436
T00086,C000408,S10,2025-07-05 08:59:38.820873,220.94,+917366556920
T00087,C001330,S09,2024-05-19 19:41:43.820873,1210.13,+919220265024
T00088,,S06,2025-10-13 03:55:03.820873,598.54,
T00089,C000999,S08,2024-02-11 23:12:26.820873,213.64,+919375005052
T00090,C001257,S05,2025-03-12 08:19:58.820873,746.89,+919385738429
T00091,C001960,S03,2024-05-13 08:39:21.820873,453.27,+916549262370
T00092,C001655,S06,2025-01-28 08:19:01.820873,1289.97,+918691599845
T00093,C001255,S10,2025-01-10 11:55:50.820873,173.74,+917450647350
T00094,C000163,S03,2024-11-08 17:38:31.820873,272.27,+916106456634
T00095,C000643,S06,2025-09-21 19:56:27.820873,252.01,+916553843145
T00096,C001455,S05,2025-08-04 08:48:13.820873,100.0,+918519467229
T00097,C000810,S05,2025-02-20 22:33:19.820873,575.56,+919700050210
T00098,C001532,S10,2025-05-10 01:43:39.820873,551.84,+918156509381
T00099,C000848,S03,2024-05-29 10:10:26.820873,405.91,+917408602588
T00100,C000257,S04,2025-09-30 18:29:42.820873,304.45,+919239406957
T00101,C001927,S02,2024-06-25 15:24:36.820873,100.0,+917562790683
T00102,C000814,S02,2024-02-28 11:39:20.820873,243.53,+917038256217
T00103,C001919,S08,2025-06-06 11:17:34.820873,267.4,+917740039271
T00104,C000054,S07,2025-05-12 12:21:50.820873,154.05,+919301106403
T00105,C000213,S05,2025-08-16 14:59:11.820873,332.44,+917995226582
T00106,C000173,S07,2024-10-04 17:41:01.820873,655.15,+917716605598
T00107,C000507,S05,2025-02-19 08:08:33.820873,3879.35,+919429590757
T00108,C000259,S03,2025-05-15 15:32:40.820873,497.45,+916654477195
T00109,C000059,S01,2025-10-02 22:19:30.820873,549.53,+919919706735
T00110,C001763,S06,2025-03-25 02:20:34.820873,368.95,+916841476312
T00111,C001997,S09,2024-08-28 05:18:17.820873,100.0,+919045771064
T00112,C000912,S03,2025-11-07 04:58:04.820873,390.8,+916460852958
T00113,C000363,S10,2025-07-27 01:57:19.820873,433.67,+918020785643
T00114,C001293,S10,2025-02-11 04:23:29.820873,7753.43,+918577014150
T00115,C001311,S09,2024-10-05 21:58:23.820873,320.27,+919294712372
T00116,C000987,S09,2024-07-12 12:35:37.820873,579.32,+916601877719
T00117,C000905,S05,2024-12-02 00:20:27.820873,386.97,+916997378157
T00118,C000533,S03,2024-09-28 09:43:02.820873,100.0,+917455700196
T00119,C000001,S09,2024-04-10 21:51:12.820873,1589.84,+916107420369
T00120,C000588,S08,2025-05-23 09:38:09.820873,994.58,+917873548915
T00121,C001409,S08,2025-03-25 20:14:29.820873,1042.36,+916183379287
T00122,C000019,S07,2024-09-18 07:04:09.820873,135.47,+919562265906
T00123,C000474,S01,2025-06-06 22:56:13.820873,2171.89,+916465342967
